 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
12881859,https://www.airbnb.com/rooms/12881859,70486395,Entire cottage,43.52128,-70.37097,1,1.0,4,-Unknown,2,432.0,55.0,24813.0,124.0,3,17.0,3.0,None,Moderate,No,No,Yes,Yes,No,No,0,186
12967549,https://www.airbnb.com/rooms/12967549,70486395,Entire cottage,43.52086,-70.36995,1,1.0,4,-NA,0,432.0,68.0,21339.0,85.0,3,20.0,3.0,None,Moderate,No,No,Yes,Yes,No,No,0,187
12968164,https://www.airbnb.com/rooms/12968164,70486395,Entire cottage,43.5202,-70.3711,1,1.0,4,4.5,1,432.0,56.0,21898.0,108.0,3,24.0,4.0,None,Moderate,No,No,Yes,Yes,No,No,0,188
13116635,https://www.airbnb.com/rooms/13116635,72761279,Entire rental unit,43.67211,-70.28208,1,1.0,4,4.71,144,148.0,30.0,15911.0,365.0,3,40.0,3.0,None,Individual,No,No,Yes,No,No,No,0,189
13185066,https://www.airbnb.com/rooms/13185066,1409180,Entire loft,43.65606,-70.25379,1,1.0,2,4.78,110,200.0,14.0,4920.0,295.0,30,0.0,0.0,Moderate,Individual,No,No,Yes,No,No,No,0,190
13263756,https://www.airbnb.com/rooms/13263756,23973177,Entire guest suite,43.38864,-70.54366,1,1.0,2,4.85,85,176.5,61.0,10847.0,103.0,2,15.5,4.0,Low,Moderate,No,Yes,Yes,No,No,No,0,191
13375689,https://www.airbnb.com/rooms/13375689,75979467,Entire condo,43.51196,-70.37684,1,1.0,4,4.87,38,345.0,97.0,35709.0,117.0,3,160.0,3.5,None,Small,Yes,No,Yes,No,No,No,0,192
13488708,https://www.airbnb.com/rooms/13488708,76390802,Entire rental unit,43.65554,-70.27421,1,1.0,3,4.6,780,120.0,84.0,27721.0,296.0,1,47.0,1.0,Moderate,Small,No,No,Yes,No,No,No,0,193
13621602,https://www.airbnb.com/rooms/13621602,50150056,Entire rental unit,43.64993,-70.26487,1,1.0,2,4.93,505,175.0,72.0,40489.0,348.0,1,12.0,2.0,None,Small,No,No,Yes,No,No,No,0,194
13647985,https://www.airbnb.com/rooms/13647985,10914099,Entire rental unit,43.59411,-70.24706,1,1.0,2,4.87,126,175.0,63.0,38174.0,355.0,3,11.0,3.0,None,Individual,No,No,Yes,No,No,No,0,195
